Layer1,Layer2,DKL
43,114,1.7613158775493503
43,121,1.8544075512327254
43,124,1.9081858452409506
43,129,2.0283086247509345
43,132,2.103062445181422
43,138,2.2101978603750467
43,141,2.2729598814621568
43,147,2.3700067927129567
43,150,2.423742454382591
49,52,0.09660345598967979
49,59,0.2200533559807809
49,62,0.2981002361775609
49,67,0.4912049906270113
49,70,0.6108052165654954
49,76,0.7727337492688093
49,79,0.8603247055434622
49,85,0.9776758327498101
49,88,1.0521722682169639
49,94,1.153878980083391
49,97,1.2157343327417038
49,102,1.362258015316911
49,105,1.4365224809153005
49,111,1.543176767998375
49,114,1.6049898024648428
49,121,1.6980814278358594
49,124,1.7518597919261083
49,129,1.8719825070584193
49,132,1.9467363472795114
49,138,2.0538718189345673
49,141,2.1166338642360643
49,147,2.213680687127635
49,150,2.2674163258634508
52,59,0.12344990523706656
52,62,0.20149678087909706
52,67,0.394601528372732
52,70,0.5142017601174302
52,76,0.676130268489942
52,79,0.763721227820497
52,85,0.881072377844248
52,88,0.9555688381078653
52,94,1.0572755383327603
52,97,1.1191308488487266
52,102,1.2656545435311273
52,105,1.3399190257769078
52,111,1.446573270659428
52,114,1.508386294648517
52,121,1.6014779872493818
52,124,1.6552562667638995
52,129,1.775379112106748
52,132,1.8501329077407718
52,138,1.9572683743899688
52,141,2.020030375220813
52,147,2.1170771945035085
52,150,2.170812842203304
59,62,0.07804687360476237
59,67,0.2711516282724915
59,70,0.39075184216198977
59,76,0.5526803492684849
59,79,0.6402712990238797
59,85,0.7576224575168453
59,88,0.8321189010457601
59,94,0.9338255967304576
59,97,0.9956809295108542
59,102,1.1422046275110915
59,105,1.2164690711651929
59,111,1.3231233358383179
59,114,1.3849363515037112
59,121,1.478028064710088
59,124,1.5318063187296502
59,129,1.6519291384611279
59,132,1.7266828969004564
59,138,1.833818391605746
59,141,1.8965803444734775
59,147,1.9936272444319911
59,150,2.04736293037422
62,67,0.19310475628299173
62,70,0.31270497242803685
62,76,0.4746334659430431
62,79,0.5622244425467215
62,85,0.6795756034844089
62,88,0.7540720376127865
62,94,0.8557787289028056
62,97,0.9176340570556931
62,102,1.0641577542992309
62,105,1.1384222278138623
62,111,1.2450764720560983
62,114,1.3068895171163604
62,121,1.3999811772373505
62,124,1.4537594793364406
62,129,1.573882255004719
62,132,1.6486360593698919
62,138,1.755771531141363
62,141,1.8185335376183502
62,147,1.9155803899047896
62,150,1.9693161025643349
67,70,0.11960021854793013
67,76,0.2815287263947539
67,79,0.3691196957443026
67,85,0.4864708575914847
67,88,0.5609672792488709
67,94,0.6626739668281516
67,97,0.7245293028390734
67,102,0.8710530196112813
67,105,0.9453174848604249
67,111,1.0519717227143701
67,114,1.1137847520585638
67,121,1.206876424868824
67,124,1.2606547043542378
67,129,1.3807775630266406
67,132,1.4555313649470918
67,138,1.5626668202748988
67,141,1.6254287978517823
67,147,1.722475634276634
67,150,1.7762112746713683
70,76,0.16192851077357773
70,79,0.24951948269517743
70,85,0.36687063856516033
70,88,0.44136707605503034
70,94,0.5430737781716743
70,97,0.6049291044619167
70,102,0.7514528047322528
70,105,0.8257172932790127
70,111,0.9323715258069569
70,114,0.9941845869470853
70,121,1.087276240781648
70,124,1.141054556457675
70,129,1.2611773603130132
70,132,1.3359311916283332
70,138,1.443066588952206
70,141,1.5058286129496992
70,147,1.6028754815051798
70,150,1.6566111559513956
76,79,0.08759096933681576
76,85,0.20494212831908953
76,88,0.2794385638080712
76,94,0.3811452741138055
76,97,0.44300060482055414
76,102,0.5895243196937372
76,105,0.6637887788674561
76,111,0.7704429986770265
76,114,0.8322560529486509
76,121,0.9253477511520032
76,124,0.9791260700876592
76,129,1.0992488328192849
76,132,1.1740026849874994
76,138,1.2811381151841488
76,141,1.343900138119352
76,147,1.4409469497040845
76,150,1.4946826763625722
79,85,0.1173511657416384
79,88,0.19184759386916994
79,94,0.29355430036230246
79,97,0.3554096332882182
79,102,0.5019333328891662
79,105,0.5761978008085862
79,111,0.6828520285635022
79,114,0.7446651019708952
79,121,0.8377567658171756
79,124,0.8915350672468776
79,129,1.0116578874003608
79,132,1.0864116981683765
79,138,1.1935471318574855
79,141,1.2563091214251472
79,147,1.3533560025534825
79,150,1.4070916586206295
85,88,0.07449643334166467
85,94,0.17620315199928882
85,97,0.23805849098062026
85,102,0.3845821940158203
85,105,0.4588466831992264
85,111,0.5655009249821887
85,114,0.6273139804470702
85,121,0.7204056754053454
85,124,0.7741839661539416
85,129,0.8943067645304836
85,132,0.9690606283402303
85,138,1.0761960741656367
85,141,1.1389580796530936
85,147,1.2360049128474202
85,150,1.2897406342235627
88,94,0.10170670879142563
88,97,0.16356204575458833
88,102,0.3100857564531907
88,105,0.3843502174167952
88,111,0.491004455689108
88,114,0.5528175362051115
88,121,0.6459092265140498
88,124,0.699687508516945
88,129,0.8198103201648337
88,132,0.894564121030271
88,138,1.001699580330751
88,141,1.0644616031058831
88,147,1.1615084061195375
88,150,1.2152441243815701
94,97,0.06185533863845194
94,102,0.20837904810832697
94,105,0.28264352059341036
94,111,0.38929777680459665
94,114,0.45111084347445285
94,121,0.5442025282827672
94,124,0.5979808312986279
94,129,0.7181036218535155
94,132,0.7928574531688355
94,138,0.8999929278943455
94,141,0.9627549439028371
94,147,1.0598017821757821
94,150,1.1135374411969678
97,102,0.14652370071598853
97,105,0.2207881690155773
97,111,0.32744240930333035
97,114,0.38925546593236504
97,121,0.4823471539566526
97,124,0.5361254516319605
97,129,0.6562482331282808
97,132,0.7310020668955985
97,138,0.8381374896416673
97,141,0.9008995178155601
97,147,0.9979463402269175
97,150,1.0516820268239826
102,105,0.07426447428042593
102,111,0.18091871975229878
102,114,0.24273178187286248
102,121,0.3358234706793155
102,124,0.38960175520332996
102,129,0.5097245720317005
102,132,0.58447839931614
102,138,0.6916138256419799
102,141,0.7543758787214756
102,147,0.8514226849656552
102,150,0.9051583911932539
105,111,0.1066542304097311
105,114,0.1684672959472664
105,121,0.26155898495562724
105,124,0.3153372655469866
105,129,0.4354600750884856
105,132,0.5102138755974011
105,138,0.6173493363821763
105,141,0.6801113300825818
105,147,0.7771581764318398
105,150,0.8308938495320035
111,114,0.06181305882319066
111,121,0.1549047401149437
111,124,0.20868301895279728
111,129,0.3288058126490796
111,132,0.40355962439934956
111,138,0.5106950831250288
111,141,0.5734570659769815
111,147,0.6705039024745929
111,150,0.7242395983994356
114,121,0.09309169149764784
114,124,0.14686998130491702
114,129,0.26699278009618865
114,132,0.3417465946622542
114,138,0.4488820557053259
114,141,0.5116440567981044
114,147,0.6086908873403445
114,150,0.6624265987193212
121,124,0.05377829070630469
121,129,0.1739010921874069
121,132,0.2486549245149945
121,138,0.3557903726814402
121,141,0.41855238128482597
121,147,0.5155992208638054
121,150,0.5693349108369148
124,129,0.1201228065401665
124,132,0.19487662756273494
124,138,0.3020120829314692
124,141,0.3647740993346815
124,147,0.46182094651521766
124,150,0.515556636491965
129,132,0.07475381938411374
129,138,0.18188926843868103
129,141,0.24465127620715066
129,147,0.3416981153332017
129,150,0.39543380711620557
132,138,0.10713544931422803
132,141,0.1698974649370939
132,147,0.2669443022332416
132,150,0.3206799969302665
138,141,0.06276200785487163
138,147,0.1598088462897067
138,150,0.21354452925697842
141,147,0.09704684124881169
141,150,0.15078253332831082
147,150,0.053735686265326876
