Layer1,Layer2,DKL
9-,41-,3.4641061797738075
9-,42-,3.4641061797738075
9-,44-,3.6378098726272583
9-,45-,3.6378098726272583
9-,47-,3.9331842437386513
9-,48-,3.9331842437386513
9-,50-,4.097505256533623
9-,51-,4.097505256533623
9-,53-,4.297166883945465
9-,54-,4.297166883945465
9-,56-,4.425496697425842
9-,57-,4.425496697425842
9-,59-,4.574464932084084
9-,60-,4.574464932084084
9-,62-,4.648666217923164
9-,63-,4.648666217923164
9-,65-,4.770571976900101
9-,66-,4.770571976900101
9-,68-,4.839021623134613
9-,69-,4.839021623134613
9-,71-,4.942118003964424
9-,72-,4.942118003964424
9-,75-,4.992937847971916
9-,76-,4.992937847971916
9-,78-,5.08322973549366
9-,79-,5.08322973549366
9-,81-,5.1650892943143845
9-,82-,5.1650892943143845
9-,84-,5.316608473658562
12-,15-,0.5674493620172143
12-,16-,0.5674493620172143
12-,18-,0.9471690077334642
12-,19-,0.9471690077334642
12-,21-,1.447072222828865
12-,22-,1.447072222828865
12-,25-,1.6866039503365755
12-,26-,1.6866039503365755
12-,28-,1.9628959074616432
12-,29-,1.9628959074616432
12-,31-,2.154095094650984
12-,32-,2.154095094650984
12-,34-,2.4949380978941917
12-,35-,2.4949380978941917
12-,38-,2.6524045653641224
12-,39-,2.6524045653641224
12-,41-,2.870912227779627
12-,42-,2.870912227779627
12-,44-,3.044616051018238
12-,45-,3.044616051018238
12-,47-,3.3399903513491154
12-,48-,3.3399903513491154
12-,50-,3.5043113082647324
12-,51-,3.5043113082647324
12-,53-,3.7039729580283165
12-,54-,3.7039729580283165
12-,56-,3.832302689552307
12-,57-,3.832302689552307
12-,59-,3.9812710508704185
12-,60-,3.9812710508704185
12-,62-,4.055472202599049
12-,63-,4.055472202599049
12-,65-,4.177377991378307
12-,66-,4.177377991378307
12-,68-,4.245827652513981
12-,69-,4.245827652513981
12-,71-,4.34892400354147
12-,72-,4.34892400354147
12-,75-,4.399743802845478
12-,76-,4.399743802845478
12-,78-,4.490035697817802
12-,79-,4.490035697817802
12-,81-,4.571895316243172
12-,82-,4.571895316243172
12-,84-,4.723414376378059
13-,15-,0.5674493620172143
13-,16-,0.5674493620172143
13-,18-,0.9471690077334642
13-,19-,0.9471690077334642
13-,21-,1.447072222828865
13-,22-,1.447072222828865
13-,25-,1.6866039503365755
13-,26-,1.6866039503365755
13-,28-,1.9628959074616432
13-,29-,1.9628959074616432
13-,31-,2.154095094650984
13-,32-,2.154095094650984
13-,34-,2.4949380978941917
13-,35-,2.4949380978941917
13-,38-,2.6524045653641224
13-,39-,2.6524045653641224
13-,41-,2.870912227779627
13-,42-,2.870912227779627
13-,44-,3.044616051018238
13-,45-,3.044616051018238
13-,47-,3.3399903513491154
13-,48-,3.3399903513491154
13-,50-,3.5043113082647324
13-,51-,3.5043113082647324
13-,53-,3.7039729580283165
13-,54-,3.7039729580283165
13-,56-,3.832302689552307
13-,57-,3.832302689552307
13-,59-,3.9812710508704185
13-,60-,3.9812710508704185
13-,62-,4.055472202599049
13-,63-,4.055472202599049
13-,65-,4.177377991378307
13-,66-,4.177377991378307
13-,68-,4.245827652513981
13-,69-,4.245827652513981
13-,71-,4.34892400354147
13-,72-,4.34892400354147
13-,75-,4.399743802845478
13-,76-,4.399743802845478
13-,78-,4.490035697817802
13-,79-,4.490035697817802
13-,81-,4.571895316243172
13-,82-,4.571895316243172
13-,84-,4.723414376378059
15-,18-,0.37971968576312065
15-,19-,0.37971968576312065
15-,21-,0.8796229669824243
15-,22-,0.8796229669824243
15-,25-,1.1191546870395541
15-,26-,1.1191546870395541
15-,28-,1.3954466599971056
15-,29-,1.3954466599971056
15-,31-,1.586645887233317
15-,32-,1.586645887233317
15-,34-,1.9274889044463634
15-,35-,1.9274889044463634
15-,38-,2.084955433383584
15-,39-,2.084955433383584
15-,41-,2.3034631833434105
15-,42-,2.3034631833434105
15-,44-,2.477166896685958
15-,45-,2.477166896685958
